GEO_ID,NAME,S2701_C01_001E,PopTot
48001,"Anderson County, Texas",45346,57922
48003,"Andrews County, Texas",18110,18610
48005,"Angelina County, Texas",84818,86395
48007,"Aransas County, Texas",23843,23830
48009,"Archer County, Texas",8577,8560
48011,"Armstrong County, Texas",1924,1848
48013,"Atascosa County, Texas",48336,48981
48015,"Austin County, Texas",29896,30167
48017,"Bailey County, Texas",6778,6904
48019,"Bandera County, Texas",20684,20851
48021,"Bastrop County, Texas",92802,97216
48023,"Baylor County, Texas",3427,3465
48025,"Bee County, Texas",23650,31047
48027,"Bell County, Texas",342946,370647
48029,"Bexar County, Texas",1956596,2009324
48031,"Blanco County, Texas",11239,11374
48033,"Borden County, Texas",550,631
48035,"Bosque County, Texas",17975,18235
48037,"Bowie County, Texas",87415,92893
48039,"Brazoria County, Texas",356529,372031
48041,"Brazos County, Texas",226682,233849
48043,"Brewster County, Texas",9422,9546
48045,"Briscoe County, Texas",1266,1435
48047,"Brooks County, Texas",6493,7076
48049,"Brown County, Texas",37092,38095
48051,"Burleson County, Texas",17544,17642
48053,"Burnet County, Texas",47739,49130
48055,"Caldwell County, Texas",43267,45883
48057,"Calhoun County, Texas",20141,20106
48059,"Callahan County, Texas",13714,13708
48061,"Cameron County, Texas",419101,421017
48063,"Camp County, Texas",12456,12464
48065,"Carson County, Texas",5827,5807
48067,"Cass County, Texas",28383,28454
48069,"Castro County, Texas",7386,7371
48071,"Chambers County, Texas",44974,46571
48073,"Cherokee County, Texas",47853,50412
48075,"Childress County, Texas",5230,6664
48077,"Clay County, Texas",10160,10218
48079,"Cochran County, Texas",2525,2547
48081,"Coke County, Texas",3207,3285
48083,"Coleman County, Texas",7818,7684
48085,"Collin County, Texas",1037027,1064465
48087,"Collingsworth County, Texas",2891,2652
48089,"Colorado County, Texas",20289,20557
48091,"Comal County, Texas",154962,161501
48093,"Comanche County, Texas",13376,13594
48095,"Concho County, Texas",2334,3303
48097,"Cooke County, Texas",40822,41668
48099,"Coryell County, Texas",62978,83093
48101,"Cottle County, Texas",1560,1380
48103,"Crane County, Texas",4562,4675
48105,"Crockett County, Texas",2893,3098
48107,"Crosby County, Texas",5196,5133
48109,"Culberson County, Texas",2203,2188
48111,"Dallam County, Texas",7100,7115
48113,"Dallas County, Texas",2587485,2613539
48115,"Dawson County, Texas",10631,12456
48117,"Deaf Smith County, Texas",18502,18583
48119,"Delta County, Texas",5198,5230
48121,"Denton County, Texas",881884,906422
48123,"DeWitt County, Texas",18011,19824
48125,"Dickens County, Texas",1482,1770
48127,"Dimmit County, Texas",8733,8615
48129,"Donley County, Texas",3207,3258
48131,"Duval County, Texas",9482,9831
48133,"Eastland County, Texas",17566,17725
48135,"Ector County, Texas",160211,165171
48137,"Edwards County, Texas",1351,1422
48139,"Ellis County, Texas",186874,192455
48141,"El Paso County, Texas",836150,865657
48143,"Erath County, Texas",41836,42545
48145,"Falls County, Texas",15266,16968
48147,"Fannin County, Texas",32655,35662
48149,"Fayette County, Texas",24098,24435
48151,"Fisher County, Texas",3705,3672
48153,"Floyd County, Texas",5451,5402
48155,"Foard County, Texas",1056,1095
48157,"Fort Bend County, Texas",801865,822779
48159,"Franklin County, Texas",10323,10359
48161,"Freestone County, Texas",18106,19435
48163,"Frio County, Texas",14574,18385
48165,"Gaines County, Texas",21079,21598
48167,"Galveston County, Texas",342347,350682
48169,"Garza County, Texas",4325,5816
48171,"Gillespie County, Texas",26474,26725
48173,"Glasscock County, Texas",1221,1116
48175,"Goliad County, Texas",7010,7012
48177,"Gonzales County, Texas",19467,19653
48179,"Gray County, Texas",19831,21227
48181,"Grayson County, Texas",133167,135543
48183,"Gregg County, Texas",121710,124239
48185,"Grimes County, Texas",25290,29268
48187,"Guadalupe County, Texas",166962,172706
48189,"Hale County, Texas",31249,32522
48191,"Hall County, Texas",2832,2825
48193,"Hamilton County, Texas",8036,8222
48195,"Hansford County, Texas",5271,5285
48197,"Hardeman County, Texas",3559,3549
48199,"Hardin County, Texas",55727,56231
48201,"Harris County, Texas",4674380,4731145
