,NAME,S1901_C01_001E
48001,"Anderson County, Texas",16477
48003,"Andrews County, Texas",6263
48005,"Angelina County, Texas",31151
48007,"Aransas County, Texas",10452
48009,"Archer County, Texas",3371
48011,"Armstrong County, Texas",708
48013,"Atascosa County, Texas",15899
48015,"Austin County, Texas",11841
48017,"Bailey County, Texas",1952
48019,"Bandera County, Texas",8383
48021,"Bastrop County, Texas",31271
48023,"Baylor County, Texas",1509
48025,"Bee County, Texas",8497
48027,"Bell County, Texas",130523
48029,"Bexar County, Texas",717124
48031,"Blanco County, Texas",4749
48033,"Borden County, Texas",196
48035,"Bosque County, Texas",7037
48037,"Bowie County, Texas",33983
48039,"Brazoria County, Texas",124284
48041,"Brazos County, Texas",83627
48043,"Brewster County, Texas",4706
48045,"Briscoe County, Texas",557
48047,"Brooks County, Texas",2425
48049,"Brown County, Texas",14651
48051,"Burleson County, Texas",7178
48053,"Burnet County, Texas",17941
48055,"Caldwell County, Texas",14315
48057,"Calhoun County, Texas",7748
48059,"Callahan County, Texas",5247
48061,"Cameron County, Texas",130030
48063,"Camp County, Texas",4385
48065,"Carson County, Texas",2282
48067,"Cass County, Texas",11371
48069,"Castro County, Texas",2417
48071,"Chambers County, Texas",14905
48073,"Cherokee County, Texas",18173
48075,"Childress County, Texas",2070
48077,"Clay County, Texas",4119
48079,"Cochran County, Texas",973
48081,"Coke County, Texas",1384
48083,"Coleman County, Texas",3222
48085,"Collin County, Texas",369168
48087,"Collingsworth County, Texas",1053
48089,"Colorado County, Texas",6999
48091,"Comal County, Texas",60714
48093,"Comanche County, Texas",5138
48095,"Concho County, Texas",803
48097,"Cooke County, Texas",16106
48099,"Coryell County, Texas",23954
48101,"Cottle County, Texas",654
48103,"Crane County, Texas",1614
48105,"Crockett County, Texas",1297
48107,"Crosby County, Texas",1934
48109,"Culberson County, Texas",634
48111,"Dallam County, Texas",2367
48113,"Dallas County, Texas",947046
48115,"Dawson County, Texas",4214
48117,"Deaf Smith County, Texas",6064
48119,"Delta County, Texas",2057
48121,"Denton County, Texas",321447
48123,"DeWitt County, Texas",6610
48125,"Dickens County, Texas",635
48127,"Dimmit County, Texas",2902
48129,"Donley County, Texas",1193
48131,"Duval County, Texas",2842
48133,"Eastland County, Texas",6697
48135,"Ector County, Texas",59019
48137,"Edwards County, Texas",558
48139,"Ellis County, Texas",62708
48141,"El Paso County, Texas",288186
48143,"Erath County, Texas",14926
48145,"Falls County, Texas",5419
48147,"Fannin County, Texas",12470
48149,"Fayette County, Texas",8720
48151,"Fisher County, Texas",1533
48153,"Floyd County, Texas",1894
48155,"Foard County, Texas",471
48157,"Fort Bend County, Texas",259106
48159,"Franklin County, Texas",3546
48161,"Freestone County, Texas",6567
48163,"Frio County, Texas",4763
48165,"Gaines County, Texas",6775
48167,"Galveston County, Texas",131877
48169,"Garza County, Texas",1705
48171,"Gillespie County, Texas",11205
48173,"Glasscock County, Texas",457
48175,"Goliad County, Texas",2671
48177,"Gonzales County, Texas",7496
48179,"Gray County, Texas",7881
48181,"Grayson County, Texas",51021
48183,"Gregg County, Texas",46654
48185,"Grimes County, Texas",9469
48187,"Guadalupe County, Texas",58439
48189,"Hale County, Texas",11070
