County,Sum of Completed Investigations,total pop
Anderson,217,58064
Andrews,41,18334
Angelina,352,87101
Aransas,161,24944
Archer,63,8835
Armstrong,10,1850
Atascosa,199,50864
Austin,82,31097
Bailey,31,6779
Bandera,118,22115
Bastrop,315,106188
Baylor,40,3466
Bee,127,30394
Bell,1207,388386
Bexar,7165,2059530
Blanco,30,12418
Borden,2,585
Bosque,83,18697
Bowie,295,92035
Brazoria,756,388181
Brazos,355,242014
Brewster,102,9343
Briscoe,7,1431
Brooks,31,6906
Brown,298,38373
Burleson,72,18657
Burnet,153,52502
Caldwell,140,47848
Calhoun,84,19706
Callahan,107,14210
Cameron,1360,425208
Camp,39,12716
Carson,16,5784
Cass,118,28539
Castro,26,7298
Chambers,107,51288
Cherokee,203,51645
Childress,48,6809
Clay,81,10486
Cochran,27,2526
Coke,30,3333
Coleman,79,7850
Collin,1202,1158696
Collingsworth,13,2568
Colorado,61,20754
Comal,492,184642
Comanche,77,13878
Concho,45,3340
Cooke,122,43050
Coryell,225,85057
Cottle,7,1307
Crane,9,4546
Crockett,17,2943
Crosby,63,4998
Culberson,14,2155
Dallam,17,7241
Dallas,5932,2600840
Dawson,61,12130
Deaf Smith,57,18377
Delta,32,5406
Denton,998,977281
DeWitt,98,19772
Dickens,20,1726
Dimmit,42,8387
Donley,17,3339
Duval,34,9888
Eastland,143,17944
Ector,563,160869
Edwards,5,1422
El Paso,3285,212182
Ellis,312,868763
Erath,95,43895
Falls,68,17049
Fannin,109,37125
Fayette,87,24913
Fisher,30,3622
Floyd,70,5235
Foard,7,1057
Fort Bend,1207,889146
Franklin,24,10618
Freestone,69,19950
Frio,30,17815
Gaines,32,22181
Galveston,1193,357117
Garza,34,6262
Gillespie,84,27477
Glasscock,4,1164
Goliad,19,7131
Gonzales,78,19832
Gray,97,21015
Grayson,559,143131
Gregg,407,125443
Grimes,87,30754
Guadalupe,434,182760
Hale,157,31827
Hall,16,2810
Hamilton,33,8298
Hansford,9,5151
Hardeman,35,3516
Hardin,171,57811
Harris,12692,4780913
Harrison,216,69955
Hartley,9,5208
Haskell,42,5403
Hays,392,269225
Hemphill,4,3217
Henderson,424,84511
Hidalgo,2303,888367
Hill,142,37329
Hockley,154,21161
Hood,198,66373
Hopkins,124,37804
Houston,98,21950
Howard,246,33672
Hudspeth,20,3432
Hunt,342,108282
Hutchinson,108,20215
Irion,4,1530
Jack,48,8922
Jackson,41,15142
Jasper,146,32484
Jeff Davis,12,1903
Jefferson,1074,250830
Jim Hogg,13,4763
Jim Wells,188,38826
Johnson,454,195506
Jones,101,19935
Karnes,33,14836
Kaufman,297,172366
Kendall,118,48973
Kent,6,740
Kerr,284,53741
Kimble,29,4422
Kinney,13,3128
Kleberg,145,30362
Knox,34,3273
La Salle,20,50484
Lamar,224,12724
Lamb,158,22785
Lampasas,97,6604
Lavaca,57,20589
Lee,51,17954
Leon,53,16209
Liberty,315,101992
Limestone,74,22253
Lipscomb,1,2854
Live Oak,31,11428
Llano,105,22540
Loving,1,51
Lubbock,2001,317561
Lynn,57,5724
Madison,28,7497
Marion,67,266836
Martin,8,576
Mason,20,13661
Matagorda,135,9560
Maverick,87,5217
McCulloch,70,3982
McLennan,970,36125
McMullen,5,57843
Medina,149,53723
Menard,9,1968
Midland,346,171999
Milam,108,25628
Mills,16,4500
Mitchell,33,8943
Montague,149,21063
Montgomery,1522,678490
Moore,48,20996
Morris,76,12083
Motley,4,1032
Nacogdoches,206,64862
Navarro,138,54636
Newton,43,12052
Nolan,118,14473
Nueces,1706,351674
Ochiltree,22,9606
Oldham,7,1752
Orange,352,84934
Palo Pinto,100,29239
Panola,67,22677
Parker,411,165834
Parmer,15,9620
Pecos,67,14735
Polk,260,53255
Potter,871,115645
Presidio,44,5939
Rains,50,12823
Randall,456,146140
Reagan,10,3135
Real,10,2840
Red River,55,11542
Reeves,36,12905
Refugio,33,6632
Roberts,5,803
Robertson,64,17153
Rockwall,121,123208
Runnels,73,9859
Rusk,134,53333
Sabine,53,10048
San Augustine,45,7857
San Jacinto,138,28348
San Patricio,322,69954
San Saba,24,5824
Schleicher,6,2357
Scurry,78,16686
Shackelford,16,3186
Shelby,102,24008
Sherman,7,2799
Smith,846,241922
Somervell,27,9757
Starr,130,65728
Stephens,50,9390
Sterling,3,1417
Stonewall,7,1182
Sutton,20,3217
Swisher,37,6881
Tarrant,5073,2154595
Taylor,1266,145163
Terrell,2,693
Terry,164,11567
Throckmorton,18,1550
Titus,82,31208
Tom Green,959,118892
Travis,2551,1326436
Trinity,70,13996
Tyler,117,20030
Upshur,141,42488
Upton,8,3152
Uvalde,75,24940
Val Verde,109,47606
Van Zandt,198,62859
Victoria,357,91065
Walker,184,78870
Waller,126,61894
Ward,57,10964
Washington,94,36159
Webb,481,267780
Wharton,110,41824
Wheeler,8,4807
Wichita,1363,129978
Wilbarger,99,12491
Willacy,93,20143
Williamson,991,671418
Wilson,153,52735
Winkler,22,7306
Wise,193,74895
Wood,196,46857
Yoakum,31,7451
Young,126,17962
Zapata,43,13849
Zavala,32,9377
